,description,title,level,text
31,book tiger is an online market place where customers can simply and easily find reliable and trustworthy cleaners for their home or small office we are young and fast growing startup situated in the heart of berlin our team is well experienced founders and core team from delivery hero com liefer held de and together with your help we like to break into the competitive home cleaning market we plan to launch new business unit in amsterdam in near future and are searching for managing director who will take on the exciting challenge of developing our business unit from scratch and work with us towards our vision of creating the most advanced and best product for our customers in the cleaning industry what the role entails from our new office in amsterdam you develop together with our founding team the strategy for our new business unit including budgeting and action plan for the upcoming launch you analyse the market our competition and our target audience recognise opportunities and build the new business activities accordingly you will set up and execute marketing and sales plan from scratch you will identify potential business partners and will be responsible for the contract negotiations you reach efficient business processes and continually opt mise these you carry the responsibility of the budget and report the progress of the new business unit to the founders on regular basis you build strong and successful team and are responsible for the management of personnel your profile successfully completed business degree an entrepreneurial mind set and determination with hands on get it done mentality excellent communication skills in both dutch and english several years of professional experience with strong focus on business development and or marketing desirably in the following areas new business development management hotel industry cleaning industry facility management an affinity for tech logy well structured and independent work ethic analytical thinking and strong interest in new business activities what we offer the rare opportunity of establishing new business unit from the outset and leading it to success steep learning curve with many challenges and great entrepreneurial experiences working with an ambitious highly talented and international team transparent business environment with direct action and can do attitude involvement in the overall success of the company by participating in the virtual share program from book tiger long with an attractive salary have we peeked your interest then apply today with your cv together with your earliest possible start date and your salary expectations please send your application documents directly to anna fish man head of hr anna book tiger com,managing director for netherlands,3,managing director for netherlands book tiger is an online market place where customers can simply and easily find reliable and trustworthy cleaners for their home or small office we are young and fast growing startup situated in the heart of berlin our team is well experienced founders and core team from delivery hero com liefer held de and together with your help we like to break into the competitive home cleaning market we plan to launch new business unit in amsterdam in near future and are searching for managing director who will take on the exciting challenge of developing our business unit from scratch and work with us towards our vision of creating the most advanced and best product for our customers in the cleaning industry what the role entails from our new office in amsterdam you develop together with our founding team the strategy for our new business unit including budgeting and action plan for the upcoming launch you analyse the market our competition and our target audience recognise opportunities and build the new business activities accordingly you will set up and execute marketing and sales plan from scratch you will identify potential business partners and will be responsible for the contract negotiations you reach efficient business processes and continually opt mise these you carry the responsibility of the budget and report the progress of the new business unit to the founders on regular basis you build strong and successful team and are responsible for the management of personnel your profile successfully completed business degree an entrepreneurial mind set and determination with hands on get it done mentality excellent communication skills in both dutch and english several years of professional experience with strong focus on business development and or marketing desirably in the following areas new business development management hotel industry cleaning industry facility management an affinity for tech logy well structured and independent work ethic analytical thinking and strong interest in new business activities what we offer the rare opportunity of establishing new business unit from the outset and leading it to success steep learning curve with many challenges and great entrepreneurial experiences working with an ambitious highly talented and international team transparent business environment with direct action and can do attitude involvement in the overall success of the company by participating in the virtual share program from book tiger long with an attractive salary have we peeked your interest then apply today with your cv together with your earliest possible start date and your salary expectations please send your application documents directly to anna fish man head of hr anna book tiger com
32,outfitter is europe biggest personal shopping service and we have clear mission take the pain out of shopping for men do you want to have lot of freedom and deep insights as well as personal responsibility do you want to get to various personalities in great international team then become part of our team and support our company on the way to even greater success your tasks you initiate and realize online marketing campaigns for denmark in close cooperation with the other team members of the marketing department you support the planning and implementation of all social media activities via facebook twitter youtube insta gram blog etc you evaluate report and analyze respective actions you support the creation of ads landing page testing and targeting testing your profile you are either student or you recently graduated from your studies in eco mics communication or similar field you are up to date and how to manage the web you have great interest in men fashion and personal shopping you communicate in danish at native level and speak english fluently previous relevant internships are plus we offer an exciting workplace in dynamic and motivated team with low hierarchies dynamic company with short and efficient decision making processes air love life and work in the berlin startup scene intrigued then send your application with your earliest possible starting date your contact person is iris hay,intern online marketing denmark ,1,intern online marketing denmark  outfitter is europe biggest personal shopping service and we have clear mission take the pain out of shopping for men do you want to have lot of freedom and deep insights as well as personal responsibility do you want to get to various personalities in great international team then become part of our team and support our company on the way to even greater success your tasks you initiate and realize online marketing campaigns for denmark in close cooperation with the other team members of the marketing department you support the planning and implementation of all social media activities via facebook twitter youtube insta gram blog etc you evaluate report and analyze respective actions you support the creation of ads landing page testing and targeting testing your profile you are either student or you recently graduated from your studies in eco mics communication or similar field you are up to date and how to manage the web you have great interest in men fashion and personal shopping you communicate in danish at native level and speak english fluently previous relevant internships are plus we offer an exciting workplace in dynamic and motivated team with low hierarchies dynamic company with short and efficient decision making processes air love life and work in the berlin startup scene intrigued then send your application with your earliest possible starting date your contact person is iris hay
33,first general counsel in company wide remit to support company with organisation expansion multiple countries partnerships deals financing manage relationships with external legal firms be part of senior management team depending on background and abilities great opportunity to on the front line of growing organisation make decisions impacting the future of company impact product expansion and success competitive salary and options benefits competitive salary performance incentives and stock options in company,general counsel,3,general counsel first general counsel in company wide remit to support company with organisation expansion multiple countries partnerships deals financing manage relationships with external legal firms be part of senior management team depending on background and abilities great opportunity to on the front line of growing organisation make decisions impacting the future of company impact product expansion and success competitive salary and options benefits competitive salary performance incentives and stock options in company
34,in vision is the world leading design collaboration platform we enable companies of all sizes to discover the power of design driven product development that why more than one million designers product managers marketers and other stakeholders at so many of the world is most loved startup agencies corporations use in vision every day including uber ever te twitter adobe sales force and many more we are looking for customer success manager to work with our enterprise customers through the on boarding adoption and renewal phases of the customer lifecycle requirements you love helping others improve their design work flow by adopting best in class tech logy delivering best practices for product design within different verticals and environments based on specific client use cases industry standards and an understanding of emerging tools engaging with the design community in the greater nyc metro area through in vision hosted events onsite client visits and focused industry events and meet ups developing relationships with designers product teams and other stakeholders in the design space contributing to the growth and adoption of in vision across our enterprise customer base you are comfortable in native design environment photoshop sketch etc experienced with in vision and other prototyping and collaboration tools excited to promote the adoption and expansion of in vision across our enterprise customer base biased towards immediate actions and results highly motivated self starter with strong organizational and time management skills an excellent communicator and presenter people like you and you make things happen you have comfort engaging with end users evangelizing in vision and driving adoption across multiple stake holder groups worked directly with customers or internal stakeholders through remote and in person presentations the ability to thrive in variable and demanding startup environment passion for design benefits highly competitive salary stock options premium health coverage macbook pro membership at health club of your choice unlimited books from amazon unlimited starbucks card half day fridays,customer success manager remote,0,customer success manager remote in vision is the world leading design collaboration platform we enable companies of all sizes to discover the power of design driven product development that why more than one million designers product managers marketers and other stakeholders at so many of the world is most loved startup agencies corporations use in vision every day including uber ever te twitter adobe sales force and many more we are looking for customer success manager to work with our enterprise customers through the on boarding adoption and renewal phases of the customer lifecycle requirements you love helping others improve their design work flow by adopting best in class tech logy delivering best practices for product design within different verticals and environments based on specific client use cases industry standards and an understanding of emerging tools engaging with the design community in the greater nyc metro area through in vision hosted events onsite client visits and focused industry events and meet ups developing relationships with designers product teams and other stakeholders in the design space contributing to the growth and adoption of in vision across our enterprise customer base you are comfortable in native design environment photoshop sketch etc experienced with in vision and other prototyping and collaboration tools excited to promote the adoption and expansion of in vision across our enterprise customer base biased towards immediate actions and results highly motivated self starter with strong organizational and time management skills an excellent communicator and presenter people like you and you make things happen you have comfort engaging with end users evangelizing in vision and driving adoption across multiple stake holder groups worked directly with customers or internal stakeholders through remote and in person presentations the ability to thrive in variable and demanding startup environment passion for design benefits highly competitive salary stock options premium health coverage macbook pro membership at health club of your choice unlimited books from amazon unlimited starbucks card half day fridays
35,with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are steadily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard to set standards for creating new learning experience talent acquisition at bab bel is more then just filling requirements task it is the understanding that we strategically build teams and drive our business with the talent we bring through our door it is the complete on going cycle of attracting sourcing recruiting and hiring employees this includes elements of employer branding outreach networking and relationship building with potential immediate and future candidates responsibilities develop and manage the full cycle recruiting process especially for technical roles partner with hiring managers to understand position specifications drive sourcing strategies to attract best of class talent identify qualify and pre screen candidates through agencies job boards social media channels associations and networking events create an exceptional applicant experience by going the extra mile make sure applicants are always up to date and receive prompt informative and personalized feedback identify the newest trends in tech recruiting and implement new strategies to attract top talent support our employer branding strategy requirements at least four years of experience in recruiting and active sourcing of candidates preferably in high growth start up familiarity with the challenges in international technical recruiting strong wledge of employer branding activities within the german tech start up scene ability to balance demanding hiring managers and candidate interests structured thinking and solution oriented attitude outstanding interpersonal skills and strong attention to detail proficiency with applicant tracking systems and social media networking tools bachelor degree in business studies or psychology focus on human resources is plus fluency in english german is considered plus benefits work at the center of one of europe hottest internet companies be part of highly dedicated lively and multicultural team broaden your perspective and learn new things every day informal working environment which cultivates ambition and originality start up mentality and attractive working environment in the heart of berlin,talent acquisition manager tech,3,talent acquisition manager tech with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are steadily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard to set standards for creating new learning experience talent acquisition at bab bel is more then just filling requirements task it is the understanding that we strategically build teams and drive our business with the talent we bring through our door it is the complete on going cycle of attracting sourcing recruiting and hiring employees this includes elements of employer branding outreach networking and relationship building with potential immediate and future candidates responsibilities develop and manage the full cycle recruiting process especially for technical roles partner with hiring managers to understand position specifications drive sourcing strategies to attract best of class talent identify qualify and pre screen candidates through agencies job boards social media channels associations and networking events create an exceptional applicant experience by going the extra mile make sure applicants are always up to date and receive prompt informative and personalized feedback identify the newest trends in tech recruiting and implement new strategies to attract top talent support our employer branding strategy requirements at least four years of experience in recruiting and active sourcing of candidates preferably in high growth start up familiarity with the challenges in international technical recruiting strong wledge of employer branding activities within the german tech start up scene ability to balance demanding hiring managers and candidate interests structured thinking and solution oriented attitude outstanding interpersonal skills and strong attention to detail proficiency with applicant tracking systems and social media networking tools bachelor degree in business studies or psychology focus on human resources is plus fluency in english german is considered plus benefits work at the center of one of europe hottest internet companies be part of highly dedicated lively and multicultural team broaden your perspective and learn new things every day informal working environment which cultivates ambition and originality start up mentality and attractive working environment in the heart of berlin
36,with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are steadily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard to set standards for creating new learning experience recruiting at bab bel is more then just filling requirements task it is the understanding that we strategically build teams and drive our business with the talent we bring through our door it is the complete on going cycle of attracting sourcing recruiting and hiring employees this includes elements of employer branding outreach networking and relationship building with potential immediate and future candidates responsibilities develop and manage the full cycle recruiting process with focus on marketing roles partner with hiring managers to understand position specifications drive sourcing strategies to attract best of class talent identify qualify and pre screen candidates through agencies job boards social media channels associations and networking events create an exceptional applicant experience by going the extra mile make sure applicants are always up to date and receive prompt informative and personalized feedback identify the newest trends in recruiting and implement new strategies to attract top talent support our employer branding strategy requirements at least three years of experience in recruiting and active sourcing of candidates preferably in high growth start up strong wledge of employer branding activities especially aimed at online marketing candidates ability to balance demanding hiring managers and candidate interests structured thinking and solution oriented attitude outstanding interpersonal skills and strong attention to detail proficiency with applicant tracking systems and social media networking tools bachelor degree in business or psychology focus on human resources is plus fluency in english german language skills are considered plus benefits work at the center of one of europe hottest internet companies be part of highly dedicated lively and multicultural team broaden your perspective and learn new things every day informal working environment which cultivates ambition and originality start up mentality and attractive working environment in the heart of berlin,talent acquisition manager,2,talent acquisition manager with bab bel anyone can learn language whether on the go in the subway or at home on the of bab bel supports those who take joy in learning outside of work or school since its founding in two zero zero seven the company has grown to become the market leader in app based language learning in total bab bel offers one four learning languages from english to indonesian professional courses are steadily available via the bab bel website as well as on your smartphone or tablet at bab bel more than four zero zero team members from over three six different countries work hard to set standards for creating new learning experience recruiting at bab bel is more then just filling requirements task it is the understanding that we strategically build teams and drive our business with the talent we bring through our door it is the complete on going cycle of attracting sourcing recruiting and hiring employees this includes elements of employer branding outreach networking and relationship building with potential immediate and future candidates responsibilities develop and manage the full cycle recruiting process with focus on marketing roles partner with hiring managers to understand position specifications drive sourcing strategies to attract best of class talent identify qualify and pre screen candidates through agencies job boards social media channels associations and networking events create an exceptional applicant experience by going the extra mile make sure applicants are always up to date and receive prompt informative and personalized feedback identify the newest trends in recruiting and implement new strategies to attract top talent support our employer branding strategy requirements at least three years of experience in recruiting and active sourcing of candidates preferably in high growth start up strong wledge of employer branding activities especially aimed at online marketing candidates ability to balance demanding hiring managers and candidate interests structured thinking and solution oriented attitude outstanding interpersonal skills and strong attention to detail proficiency with applicant tracking systems and social media networking tools bachelor degree in business or psychology focus on human resources is plus fluency in english german language skills are considered plus benefits work at the center of one of europe hottest internet companies be part of highly dedicated lively and multicultural team broaden your perspective and learn new things every day informal working environment which cultivates ambition and originality start up mentality and attractive working environment in the heart of berlin
37,we are looking for web mobile frontend and javascript expert to join us in our berlin office we are working on brand new learning product for school children that will change education on global scale you will work with completely new and in vative cross platform engine system we work in small independent startup style team with high degree of personal responsibility and continuous deployment responsibilities develop new features and applications that change the way pupils learn globally build stable high volume production applications analyze user behaviour and iterate features based on these learning improve the client side javascript performance globally requirements strong programming experience two five years in javascript and at least one popular js framework backbone angular solid understanding of web frontend concepts dom rendering ajax and js performance profiling good wledge of html css and sql good understanding of user experience design and how to build apps users love solid foundation in computer science with strong competencies in data structures algorithms and software design wledge of live script and or post gre sql is plus benefits shaping the way millions of children learn with more fun and more success work closely with one of the founders of bab bel process meetings quick decisions start up mentality and attractive working environment in the heart of berlin kreuzberg have real impact on the next generation learning product,software developer javascript cross platform,2,software developer javascript cross platform we are looking for web mobile frontend and javascript expert to join us in our berlin office we are working on brand new learning product for school children that will change education on global scale you will work with completely new and in vative cross platform engine system we work in small independent startup style team with high degree of personal responsibility and continuous deployment responsibilities develop new features and applications that change the way pupils learn globally build stable high volume production applications analyze user behaviour and iterate features based on these learning improve the client side javascript performance globally requirements strong programming experience two five years in javascript and at least one popular js framework backbone angular solid understanding of web frontend concepts dom rendering ajax and js performance profiling good wledge of html css and sql good understanding of user experience design and how to build apps users love solid foundation in computer science with strong competencies in data structures algorithms and software design wledge of live script and or post gre sql is plus benefits shaping the way millions of children learn with more fun and more success work closely with one of the founders of bab bel process meetings quick decisions start up mentality and attractive working environment in the heart of berlin kreuzberg have real impact on the next generation learning product
38,uber is evolving the way the world moves by seamlessly connecting riders to drivers through our apps we make cities more accessible opening up more possibilities for riders and more business for drivers we are game changing startup providing quality on demand car requests from the touch of your phone tenacity toward delivering an awesome experience for our users is critical to our success we are looking for marketing manager rock star to help bolster uber presence in singapore this position is based in singapore working closely with our local teams the right person will be comfortable in an all hands on deck environment loves solving problems and can thrive in startup culture this role is all about bringing uber to the masses are you content marketing expert with wledge of singapore read on,marketing manager comms content singapore,3,marketing manager comms content singapore uber is evolving the way the world moves by seamlessly connecting riders to drivers through our apps we make cities more accessible opening up more possibilities for riders and more business for drivers we are game changing startup providing quality on demand car requests from the touch of your phone tenacity toward delivering an awesome experience for our users is critical to our success we are looking for marketing manager rock star to help bolster uber presence in singapore this position is based in singapore working closely with our local teams the right person will be comfortable in an all hands on deck environment loves solving problems and can thrive in startup culture this role is all about bringing uber to the masses are you content marketing expert with wledge of singapore read on
39,the uber trust safety tn team is responsible for further developing creating and constantly in vating processes and tools to ensure uber continues to be the safest ride on the road as the manager for tn in india you ll be responsible for thinking through every aspect of safety related to uber in the region you ll be one part incident response one part trend analysis one part brand ambassador and one part process in vator working with riders driver partners and the uber team through challenging and sensitive problems,trust safety manager india,0,trust safety manager india the uber trust safety tn team is responsible for further developing creating and constantly in vating processes and tools to ensure uber continues to be the safest ride on the road as the manager for tn in india you ll be responsible for thinking through every aspect of safety related to uber in the region you ll be one part incident response one part trend analysis one part brand ambassador and one part process in vator working with riders driver partners and the uber team through challenging and sensitive problems
40,the person who fills this role will be part of the global procurement team and responsible for building and managing procurement within india you will think globally act locally your mission is to get the right deals from the right vendors at uncommonly optimised terms in highly expedited timelines in very well managed and tracked way from what we buy to how we pay here is some of what you and the team you build possibly two to five people will do what you ll do strategic planning results fully charged with defining and implementing spend visibility commodity management and strategic sourcing keeping executives in your region informed of key insights team management build and manage team and infrastructure to deliver incredible value risk management and cost savings facilities and it partner help quickly build cost effective offices and procure the right tech logy at the best price you will work with your team members that are deep category experts and other departments within uber to develop an efficient and effective supply chain telecom spend we re global with over million drivers on our mobile tech logy platform you ll team up with the tech logy and business teams to make sure we have the right deals at the right prices and help ensure well managed supply chain contracts you will negotiate as well as red line and draft commercial terms to support three rd party spend procurement tech logy and policies lead the appropriate use of tools and policies to serve your region and uber travel policy how we travel where we stay and how we house people what we re looking for one zero years of experience in managing global procurement process background in managing tech logy and facilities processes big plus someone who wants to develop global procurement program that just an implementation of what been done before someone with the ability to simultaneously manage multiple initiatives while making day to day difference team oriented leader you will be interfacing with all levels of uber employees partners and vendors hands on experience and willingness to be in the weeds leadership and people management skills internal as well as vendor and partner passion for uber perks employees are given uber credits every month ground floor opportunity to make difference we re just ther social web app we re moving real assets and real people around their cities,head of procurement india,3,head of procurement india the person who fills this role will be part of the global procurement team and responsible for building and managing procurement within india you will think globally act locally your mission is to get the right deals from the right vendors at uncommonly optimised terms in highly expedited timelines in very well managed and tracked way from what we buy to how we pay here is some of what you and the team you build possibly two to five people will do what you ll do strategic planning results fully charged with defining and implementing spend visibility commodity management and strategic sourcing keeping executives in your region informed of key insights team management build and manage team and infrastructure to deliver incredible value risk management and cost savings facilities and it partner help quickly build cost effective offices and procure the right tech logy at the best price you will work with your team members that are deep category experts and other departments within uber to develop an efficient and effective supply chain telecom spend we re global with over million drivers on our mobile tech logy platform you ll team up with the tech logy and business teams to make sure we have the right deals at the right prices and help ensure well managed supply chain contracts you will negotiate as well as red line and draft commercial terms to support three rd party spend procurement tech logy and policies lead the appropriate use of tools and policies to serve your region and uber travel policy how we travel where we stay and how we house people what we re looking for one zero years of experience in managing global procurement process background in managing tech logy and facilities processes big plus someone who wants to develop global procurement program that just an implementation of what been done before someone with the ability to simultaneously manage multiple initiatives while making day to day difference team oriented leader you will be interfacing with all levels of uber employees partners and vendors hands on experience and willingness to be in the weeds leadership and people management skills internal as well as vendor and partner passion for uber perks employees are given uber credits every month ground floor opportunity to make difference we re just ther social web app we re moving real assets and real people around their cities
41,uber is looking for senior marketing manager to lead marketing efforts for our nyc team this is critical role as it will help shape and oversee all marketing practices both rider and partner driver facing for one of uber largest cities the role calls for combination of strategic planning and analytics business development marketing and leadership the right candidate should be comfortable in an all hands on deck environment love solving people problems and be able to thrive in startup culture we are moving mile minute to make sure that uber users and partner drivers are able to experience the magic of uber the senior marketing manager will implement and advise on strategic initiatives that span brand content product positioning business development and account management,senior marketing manager new york city,3,senior marketing manager new york city uber is looking for senior marketing manager to lead marketing efforts for our nyc team this is critical role as it will help shape and oversee all marketing practices both rider and partner driver facing for one of uber largest cities the role calls for combination of strategic planning and analytics business development marketing and leadership the right candidate should be comfortable in an all hands on deck environment love solving people problems and be able to thrive in startup culture we are moving mile minute to make sure that uber users and partner drivers are able to experience the magic of uber the senior marketing manager will implement and advise on strategic initiatives that span brand content product positioning business development and account management
42,at uber we pride ourselves on the amazing team we ve built the driver behind all our growth our bold and disenioruptive brand and the game changing tech logy we bring to market is the people that make uber well uber we are in need of an hr business partner who will align business objectives with employees and management for our india business operations you are effectively consultant to management on business issues and coach to managers and employees,hr director india,3,hr director india at uber we pride ourselves on the amazing team we ve built the driver behind all our growth our bold and disenioruptive brand and the game changing tech logy we bring to market is the people that make uber well uber we are in need of an hr business partner who will align business objectives with employees and management for our india business operations you are effectively consultant to management on business issues and coach to managers and employees
43,uber is seeking senior brand design manager to lead manage and grow the regional brand marketing team the role demands great execution bold in vation obsession with quality fearlessness and optimism to be inspired by the unk wn and never settle solving problems with creativity while keeping the user in mind and ambition to take projects to the finish line what you ll do work among other exceptionally talented staff in fast paced rapidly growing highly collaborative environment from music festivals to marketing collateral you will have the opportunity to give local voice to uber communications concept and execute both large scale and small scale brand expressions that are incredibly impact ful and positive push projects to world class level conceptually craft and lead world class executions that range from illustration to environmental design manage and direct outside agencies in variety of cross disciplinary executions help designers become source of inspiration for marketing efforts and inspire marketing management to be even more potent teach designers across regions how to strengthen their voices to become thought and creative leaders in their local markets enable regional teams to ship high quality design assets with minimal effects on velocity maximizing quality creativity and timely delivery build team camaraderie and apply best practices in cross region wledge sharing build the systems for you and others to effectively identify evaluate and hire designers and writers who can take uber to new levels of awesome ness qualifications eight years of relevant visual design experience in print interactive design environmental design social media and or direct marketing preferably in traditionally managed creative or digital agency environment five years experience directly managing mentoring and building local and remote design teams highly strategic and conceptual thinker with love of storytelling and that pushes creative boundaries strong business acumen with solid understanding of how to achieve business objectives while meeting an expected brand standard and high bar for aesthetic quality experienced overseeing relationships with brand consultancies and interactive agencies,senior manager regional brand marketing india,3,senior manager regional brand marketing india uber is seeking senior brand design manager to lead manage and grow the regional brand marketing team the role demands great execution bold in vation obsession with quality fearlessness and optimism to be inspired by the unk wn and never settle solving problems with creativity while keeping the user in mind and ambition to take projects to the finish line what you ll do work among other exceptionally talented staff in fast paced rapidly growing highly collaborative environment from music festivals to marketing collateral you will have the opportunity to give local voice to uber communications concept and execute both large scale and small scale brand expressions that are incredibly impact ful and positive push projects to world class level conceptually craft and lead world class executions that range from illustration to environmental design manage and direct outside agencies in variety of cross disciplinary executions help designers become source of inspiration for marketing efforts and inspire marketing management to be even more potent teach designers across regions how to strengthen their voices to become thought and creative leaders in their local markets enable regional teams to ship high quality design assets with minimal effects on velocity maximizing quality creativity and timely delivery build team camaraderie and apply best practices in cross region wledge sharing build the systems for you and others to effectively identify evaluate and hire designers and writers who can take uber to new levels of awesome ness qualifications eight years of relevant visual design experience in print interactive design environmental design social media and or direct marketing preferably in traditionally managed creative or digital agency environment five years experience directly managing mentoring and building local and remote design teams highly strategic and conceptual thinker with love of storytelling and that pushes creative boundaries strong business acumen with solid understanding of how to achieve business objectives while meeting an expected brand standard and high bar for aesthetic quality experienced overseeing relationships with brand consultancies and interactive agencies
44,uber is expanding quickly throughout asia pacific and is looking for an experienced financial operations analyst to join our growing asia pacific team reporting to the head of finance india you will be key to india finance operations to ensure payments to vendors driver partners are processed accurately and on time someone who doesn just plug and chug will be most successful in this role ideal candidate always asks the question does this make sense what will you do highly proficient with accounts payable process in voice processing compliance payment processing and travel expense reimbursement processing ensure vendor invoices driver payments and expense claims are paid accurately timely ensure sla metrics controls are met participate month year end close activities to ensure ap accounts are accurate and timely reconciled to gl work well with other functions to resolve issues related to ap support development of work instructions and process flows support participate internal external audit and related activities lead and support process projects related to procure to pay expense reimbursement areas inclination and desire to continuously improve the accounts payable and two process what you will need university degree or diploma level in accounting and or business discipline three years experience accounts payable banking payment process must have oracle one two wledge strong excel skills strong clear communication skills on all level wledgeable of process improvement methodology perks employees are given lots of free uber rides each month make difference we re just ther social web app we re moving real people assets and changing transportation for the future work with smart driven co workers in fun office,financial operations analyst india,2,financial operations analyst india uber is expanding quickly throughout asia pacific and is looking for an experienced financial operations analyst to join our growing asia pacific team reporting to the head of finance india you will be key to india finance operations to ensure payments to vendors driver partners are processed accurately and on time someone who doesn just plug and chug will be most successful in this role ideal candidate always asks the question does this make sense what will you do highly proficient with accounts payable process in voice processing compliance payment processing and travel expense reimbursement processing ensure vendor invoices driver payments and expense claims are paid accurately timely ensure sla metrics controls are met participate month year end close activities to ensure ap accounts are accurate and timely reconciled to gl work well with other functions to resolve issues related to ap support development of work instructions and process flows support participate internal external audit and related activities lead and support process projects related to procure to pay expense reimbursement areas inclination and desire to continuously improve the accounts payable and two process what you will need university degree or diploma level in accounting and or business discipline three years experience accounts payable banking payment process must have oracle one two wledge strong excel skills strong clear communication skills on all level wledgeable of process improvement methodology perks employees are given lots of free uber rides each month make difference we re just ther social web app we re moving real people assets and changing transportation for the future work with smart driven co workers in fun office
